date,rain_mm,total_runoff_mm,crop_water_uptake_mm,soil_moisture_mm,percolation_to_groundwater_mm
2022-06-01,0.0,0.0,0.0,0.0,0.0
2022-06-02,0.0,0.0,0.0,0.0,0.0
2022-06-03,0.0,0.0,0.0,0.0,0.0
2022-06-04,0.0,0.0,0.0,0.0,0.0
2022-06-05,0.0,0.0,0.0,0.0,0.0
2022-06-06,0.0,0.0,0.0,0.0,0.0
2022-06-07,0.0,0.0,0.0,0.0,0.0
2022-06-08,5.25,1.05,4,0.16666666666666682,0.033333333333333354
2022-06-09,2.25,0.45,1.966666666666667,0.0,0.0
2022-06-10,0.0,0.0,0.0,0.0,0.0
2022-06-11,0.0,0.0,0.0,0.0,0.0
2022-06-12,8.0,1.6,4,2.0000000000000004,0.3999999999999999
2022-06-13,27.0,8.1,4,14.083333333333332,2.8166666666666664
2022-06-14,0.0,0.0,4,8.402777777777777,1.6805555555555554
2022-06-15,0.0,0.0,4,3.668981481481481,0.7337962962962958
2022-06-16,0.0,0.0,3.668981481481481,0.0,0.0
2022-06-17,0.75,0.15000000000000002,0.6,0.0,0.0
2022-06-18,0.0,0.0,0.0,0.0,0.0
2022-06-19,0.75,0.15000000000000002,0.6,0.0,0.0
2022-06-20,1.25,0.25,1.0,0.0,0.0
2022-06-21,6.5,1.3,4,1.0000000000000002,0.19999999999999996
2022-06-22,43.5,13.049999999999999,4,22.875000000000004,4.574999999999999
2022-06-23,1.0,0.2,4,16.39583333333334,3.279166666666665
2022-06-24,6.75,1.35,4,14.829861111111116,2.965972222222222
2022-06-25,0.25,0.05,4,9.19155092592593,1.8383101851851862
2022-06-26,0.0,0.0,4,4.326292438271608,0.8652584876543212
2022-06-27,16.75,3.35,4,11.438577031893006,2.2877154063786005
2022-06-28,0.25,0.05,4,6.365480859910838,1.273096171982167
2022-06-29,0.0,0.0,4,1.9712340499256986,0.3942468099851397
2022-06-30,0.5,0.1,2.3712340499256985,0.0,0.0
2022-07-01,1.75,0.35000000000000003,1.4,0.0,0.0
2022-07-02,0.0,0.0,0.0,0.0,0.0
2022-07-03,0.0,0.0,0.0,0.0,0.0
2022-07-04,2.0,0.4,1.6,0.0,0.0
2022-07-05,1.25,0.25,1.0,0.0,0.0
2022-07-06,0.0,0.0,0.0,0.0,0.0
2022-07-07,10.25,2.0500000000000003,4,3.4999999999999996,0.6999999999999997
2022-07-08,22.25,4.45,4,14.416666666666668,2.883333333333333
2022-07-09,7.75,1.55,4,13.847222222222223,2.769444444444444
2022-07-10,23.25,4.65,4,23.70601851851852,4.741203703703704
2022-07-11,16.0,3.2,4,27.088348765432098,5.417669753086418
2022-07-12,1.5,0.30000000000000004,4,20.24029063786008,4.048058127572016
2022-07-13,9.5,1.9000000000000001,4,19.866908864883403,3.97338177297668
2022-07-14,1.0,0.2,4,13.88909072073617,2.7778181441472327
2022-07-15,2.25,0.45,4,9.74090893394681,1.9481817867893607
2022-07-16,0.0,0.0,4,4.784090778289009,0.9568181556578015
2022-07-17,14.25,2.85,4,10.153408981907507,2.0306817963815007
2022-07-18,12.75,2.5500000000000003,4,13.627840818256256,2.72556816365125
2022-07-19,11.75,2.35,4,15.856534015213546,3.171306803042709
2022-07-20,1.75,0.35000000000000003,4,11.047111679344622,2.209422335868924
2022-07-21,0.25,0.05,4,6.039259732787185,1.2078519465574367
2022-07-22,0.5,0.1,4,2.0327164439893215,0.40654328879786394
2022-07-23,3.25,0.65,4,0.5272637033244343,0.10545274066488686
2022-07-24,6.25,1.25,4,1.2727197527703624,0.2545439505540723
2022-07-25,0.5,0.1,1.6727197527703623,0.0,0.0
2022-07-26,3.0,0.6000000000000001,2.4,0.0,0.0
2022-07-27,33.25,9.975,4,16.0625,3.2124999999999986
2022-07-28,0.0,0.0,4,10.052083333333334,2.010416666666666
2022-07-29,1.5,0.30000000000000004,4,6.043402777777778,1.2086805555555555
2022-07-30,0.0,0.0,4,1.7028356481481481,0.34056712962962954
2022-07-31,0.0,0.0,1.7028356481481481,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0
2022-08-02,0.0,0.0,0.0,0.0,0.0
2022-08-03,0.0,0.0,0.0,0.0,0.0
2022-08-04,6.75,1.35,4,1.166666666666667,0.2333333333333334
2022-08-05,0.5,0.1,1.5666666666666669,0.0,0.0
2022-08-06,0.0,0.0,0.0,0.0,0.0
2022-08-07,0.0,0.0,0.0,0.0,0.0
2022-08-08,26.0,7.8,4,11.833333333333334,2.3666666666666654
2022-08-09,0.5,0.1,4,6.8611111111111125,1.3722222222222218
2022-08-10,3.0,0.6000000000000001,4,4.384259259259261,0.8768518518518515
2022-08-11,0.25,0.05,4,0.4868827160493846,0.09737654320987688
2022-08-12,1.25,0.25,1.4868827160493847,0.0,0.0
2022-08-13,0.0,0.0,0.0,0.0,0.0
2022-08-14,0.0,0.0,0.0,0.0,0.0
2022-08-15,4.25,0.8500000000000001,3.4,0.0,0.0
2022-08-16,0.0,0.0,0.0,0.0,0.0
2022-08-17,0.0,0.0,0.0,0.0,0.0
2022-08-18,1.25,0.25,1.0,0.0,0.0
2022-08-19,0.0,0.0,0.0,0.0,0.0
2022-08-20,0.0,0.0,0.0,0.0,0.0
2022-08-21,0.0,0.0,0.0,0.0,0.0
2022-08-22,2.0,0.4,1.6,0.0,0.0
2022-08-23,0.0,0.0,0.0,0.0,0.0
2022-08-24,0.0,0.0,0.0,0.0,0.0
2022-08-25,1.25,0.25,1.0,0.0,0.0
2022-08-26,0.0,0.0,0.0,0.0,0.0
2022-08-27,0.0,0.0,0.0,0.0,0.0
2022-08-28,0.0,0.0,0.0,0.0,0.0
2022-08-29,0.0,0.0,0.0,0.0,0.0
2022-08-30,17.25,3.45,4,8.166666666666668,1.6333333333333329
2022-08-31,0.0,0.0,4,3.472222222222223,0.6944444444444446
2022-09-01,33.5,10.049999999999999,4,19.101851851851855,3.8203703703703695
2022-09-02,0.0,0.0,4,12.58487654320988,2.5169753086419746
2022-09-03,38.5,11.549999999999999,4,29.61239711934157,5.922479423868314
2022-09-04,8.0,1.6,4,26.676997599451305,5.3353995198902595
2022-09-05,0.5,0.1,4,19.230831332876086,3.846166266575217
2022-09-06,0.0,0.0,4,12.692359444063406,2.53847188881268
2022-09-07,1.75,0.35000000000000003,4,8.410299536719506,1.6820599073439002
2022-09-08,3.0,0.6000000000000001,4,5.675249613932922,1.1350499227865845
2022-09-09,11.25,2.25,4,8.896041344944104,1.7792082689888193
2022-09-10,22.0,4.4,4,18.746701120786753,3.7493402241573506
2022-09-11,8.25,1.6500000000000001,4,17.78891760065563,3.5577835201311245
2022-09-12,14.25,2.85,4,20.990764667213025,4.1981529334426035
2022-09-13,5.0,1.0,4,17.49230388934419,3.4984607778688357
2022-09-14,0.75,0.15000000000000002,4,11.743586574453493,2.3487173148906972
2022-09-15,0.0,0.0,4,6.452988812044578,1.2905977624089155
2022-09-16,13.0,2.6,4,10.710824010037147,2.1421648020074286
2022-09-17,3.75,0.75,4,8.092353341697622,1.6184706683395245
2022-09-18,58.75,23.5,4,32.785294451414686,6.557058890282931
2022-09-19,79.5,39.75,4,57.11274537617891,11.422549075235779
2022-09-20,0.0,0.0,4,44.26062114681576,8.852124229363149
2022-09-21,0.0,0.0,4,33.55051762234647,6.7101035244692895
2022-09-22,8.25,1.6500000000000001,4,30.125431351955392,6.025086270391078
2022-09-23,0.0,0.0,4,21.771192793296162,4.35423855865923
2022-09-24,0.0,0.0,4,14.809327327746802,2.9618654655493604
2022-09-25,0.0,0.0,4,9.007772773122335,1.8015545546244667
2022-09-26,0.0,0.0,4,4.1731439776019466,0.8346287955203886
2022-09-27,0.0,0.0,4,0.14428664800162214,0.028857329600324416
2022-09-28,0.0,0.0,0.14428664800162214,0.0,0.0
2022-09-29,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0
2022-10-02,0.0,0.0,0.0,0.0,0.0
2022-10-03,0.0,0.0,0.0,0.0,0.0
2022-10-04,0.0,0.0,0.0,0.0,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0
2022-10-07,100.25,70.175,4,21.72916666666667,4.345833333333331
2022-10-08,3.0,0.6000000000000001,4,16.77430555555556,3.3548611111111093
2022-10-09,0.0,0.0,4,10.645254629629635,2.1290509259259256
2022-10-10,0.0,0.0,4,5.53771219135803,1.1075424382716053
2022-10-11,0.0,0.0,4,1.2814268261316917,0.25628536522633816
2022-10-12,0.0,0.0,1.2814268261316917,0.0,0.0
2022-10-13,1.25,0.25,1.0,0.0,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0
2022-10-15,0.0,0.0,0.0,0.0,0.0
2022-10-16,0.0,0.0,0.0,0.0,0.0
2022-10-17,1.75,0.35000000000000003,1.4,0.0,0.0
2022-10-18,49.0,14.7,4,25.25,5.049999999999997
2022-10-19,31.75,9.525,4,36.22916666666667,7.24583333333333
2022-10-20,0.0,0.0,4,26.857638888888893,5.371527777777779
2022-10-21,3.5,0.7000000000000001,4,21.381365740740744,4.2762731481481495
2022-10-22,0.0,0.0,4,14.484471450617287,2.8968942901234573
2022-10-23,0.0,0.0,4,8.737059542181072,1.7474119084362147
2022-10-24,0.0,0.0,4,3.947549618484227,0.789509923696845
2022-10-25,0.0,0.0,3.947549618484227,0.0,0.0
2022-10-26,0.0,0.0,0.0,0.0,0.0
2022-10-27,0.0,0.0,0.0,0.0,0.0
2022-10-28,0.0,0.0,0.0,0.0,0.0
2022-10-29,0.0,0.0,0.0,0.0,0.0
2022-10-30,0.0,0.0,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0
2022-11-02,0.0,0.0,0.0,0.0,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0
2022-11-04,0.0,0.0,0.0,0.0,0.0
2022-11-05,0.0,0.0,0.0,0.0,0.0
2022-11-06,0.0,0.0,0.0,0.0,0.0
2022-11-07,0.0,0.0,0.0,0.0,0.0
2022-11-08,0.0,0.0,0.0,0.0,0.0
2022-11-09,0.0,0.0,0.0,0.0,0.0
2022-11-10,0.0,0.0,0.0,0.0,0.0
2022-11-11,0.0,0.0,0.0,0.0,0.0
2022-11-12,0.0,0.0,0.0,0.0,0.0
